Date,Category,Subcategory,Dollars,Dollars_last_year,Dollars_3_years_ago,Unit_sales,Unit_sales_last_year,Unit_sales_3_years_ago,Share,Share_last_year,Share_3_years_ago,Percent_change_dollars_1_year,Percent_change_units_1_year,Percent_change_share_1_year,Percent_change_dollars_3_years,Percent_change_units_3_years,Percent_change_share_3_years
3/10/2021,Alcohol,Other,1093518412,984173461,861042184.1,153248754,159439423,145532385,6.8,6.55,6.55,-2.9,-3.9,-7.7,16.2,5.3,-0.2
3/10/2021,Beverages,Carbonated non-alcoholic,870960817,788953316,731136055,274847328,282281113.4,276043695.6,5.8,5.5,5.7,10.4,-2,5,19.1,-4.3,2.3
3/10/2021,Beverages,Fruit drinks and non-carbonated sugary,898159363,785749369,686222934,274847328,282281113.4,276043695.6,6,5.5,5.3,14.3,4.8,8.7,30.9,12.5,12.4
3/10/2021,Beverages,Other,245049157,245548827,228647614,35634149,37539695,36681533,1.6,1.7,1.8,-0.2,-5.1,-5.1,7.2,-2.9,-8
3/10/2021,Beverages,Water,430272138,371222085,337989269,175098444,165332141,161682013,2.9,2.6,2.6,15.9,5.9,10.3,27.3,8.3,9.3
3/10/2021,Commercially prepared items,"Not sweet canned (soups, sauces, etc)",258646793,257654255,221200339,100205469,104684714,96128263,1.7,1.8,1.7,0.4,-4.3,-4.5,16.9,4.2,0.4
3/10/2021,Commercially prepared items,"Not sweet frozen (pizzas, french fries, fish sticks and entrees)",539406681,494202353,447017919,142722918,141896911,138515297,3.6,3.5,3.5,9.1,0.6,3.8,20.7,3,3.6
3/10/2021,Commercially prepared items,Not sweet packaged/Meals and sides,950944366,855872037,820780128,274847328,282281113.4,276043695.6,6.4,6,6.4,11.1,1.4,5.7,15.9,2.5,-0.5
3/10/2021,Commercially prepared items,Not sweet packaged/Snacks,948142554,869202974,825260550,274847328,282281113.4,276043695.6,6.3,6.1,6.4,9.1,1.1,3.8,14.9,-2.6,-1.4
3/10/2021,Commercially prepared items,Other,57076243,54719617,48479548,27429749,27490046,25351936,0.4,0.4,0.4,4.3,-0.2,-0.8,17.7,8.2,1.1
3/10/2021,Commercially prepared items,Regular meat fresh/frozen,1282519,1016688,627583,275464,258506,172060,0,0,0,26.1,6.6,17.8,56.55,22.3625,20.9625
3/10/2021,Commercially prepared items,"Sweet frozen (ice cream, frozen desserts)",292927183,294586797,250524067,74811459,77184903,70565741,2,2.1,2,-0.6,-3.1,-5.4,16.9,6,0.4
3/10/2021,Commercially prepared items,"Sweet mixes (pancake, muffin, and cake mixes)",79557800,87269901,73459735,34682110,40195158,36283507,0.5,0.6,0.6,-8.8,-13.7,-13.3,8.3,-4.4,-7
3/10/2021,Commercially prepared items,"Sweet packaged (cookies, candy bars, bars)",1001469741,941783092,861042184.1,274847328,282281113.4,276043695.6,6.7,6.55,6.55,6.3,0.4,1.2,7.6,-6.4,-7.6
3/10/2021,Commercially prepared items,Sweet ready-to-eat (bakery items),389763326,357454649,350273173,127367545,124984337,136930711,2.6,2.5,2.7,9,1.9,3.7,11.3,-7,-4.5
3/10/2021,Dairy,Cheese,469883365,480214715,417107984,129642075,133598182,125358508,3.1,3.4,3.3,-2.2,-3,-6.9,12.7,3.4,-3.3
3/10/2021,Dairy,Other,337998280,339155919,312488894,111991140,115356346,117462315,2.3,2.4,2.4,-0.3,-2.9,-5.2,8.2,-4.7,-7.1
3/10/2021,Dairy,Regular-fat milk,9824001,10187731,8670350,6137806,6589794,6175699,0.1,0.1,0.1,-3.6,-6.9,-8.3,13.3,-0.6,-2.7
3/10/2021,Dairy,Yogurt and other,300334038,292897469,264817336,125418282,127918838,130110598,2,2.1,2.1,2.5,-2,-2.5,13.4,-3.6,-2.6
3/10/2021,Fats and oils,Oils,80100222,72720152,68900596,14094516,14762947,14257680,0.5,0.5,0.5,10.1,-4.5,4.8,16.3,-1.1,-0.2
3/10/2021,Fats and oils,Solids,89228882,93329120,89918623,25936828,28323797,27702524,0.6,0.7,0.7,-4.4,-8.4,-9.1,-0.8,-6.4,-14.8
3/10/2021,Fruits,Fruit juice,98035691,88747794,84261217,32441722,31708867,31651663,0.7,0.6,0.7,10.5,2.3,5.1,16.3,2.5,-0.1
